Gold Category	Preticted	Utterance
-	+	Usually, any film with Sylvester Stallone is usually going to suck ass. Rambo: First Blood Part II was no exception to this. The only movies that Sylvester Stallone were in that were good were Rocky and First Blood. This film is extreamly unrealistic, and boring. It has action, but not very good action. I didn't enjoy watching it, and I would never ever watch this again. No wonder why it won the Razzie Award for Worst Picture. I would give this a 3/10, the only reason why it got the 3 was because it had somewhat good action, but not good enough. 
-	+	""Caligula"" shares many of the same attributes as the 1970 ""Fellini Satyricon"" with bizarre sights, freakishness, and depictions of sexual excesses all set in the ""glory"" of ancient Rome. But Fellini it ain't... First of all it is not as entertaining. Far too much screen time is devoted to bug-eyed, rubber-faced McDowell in the titular role. His performance is far too fey and campy to be convincing. The portrayals by Jay Robinson in ""The Robe"" (1953) and David Cain-Haughton in ""Emperor Caligula"" (1983) are far more persuasive and believable, with the latter being the most nuanced. Relief could have been judiciously provided by developing the surrounding characters more fully. As it is, they are little more than cyphers. One example is the role of Macro, played by Guido Mannari who has tremendous screen presence in an important role, but is mostly left in the background. The only positive features to credit are the adroit use of some Prokofiev and Stravinsky themes in the music score and the inclusion of some of the distasteful but nevertheless accurate actions of the despot. These two factors are far less than what is needed to relieve the prevailing tedium, however. 
-	+	The last Tarzan film starring Johnny Weissmuller (looking surprisingly aged a year after ""Tarzan and the Huntress"") is bad, in spite of all the trivia one can add to make it look better. It is obvious that RKO tried to make a great farewell for Weissmuller, shooting in beautiful scenery in México, with a top star of that country (Andrea Palma) and multiple award-winning cinematographer Gabriel Figueroa, and bringing in prestigious composer Dimitri Tiomkin to do the score. Although it may have cost less for filming abroad, it looks more expensive than any other RKO film in the series, taking advantage of Acapulco beaches and real pyramids as Aquatania, and with impressive décors for all the scenes related to the temple of god Balu (especially the exterior, built on steep rocks.) Kurt Neumann should have stayed as director, instead of Robert Florey, who gives it a very slow pace. Neumann had done a fine work with ""Tarzan and the Amazons"", ""Tarzan and the Leopard Woman"" and ""Tarzan and the Huntress"", and finished his career directing the classic ""The Fly"" the year before his death; while Florey became a television director, after a career of few remarkable films. If Weissmuller looks tired, the chimp playing Cheeta is not as good as the others, but the worst character is Benji, an obnoxious mailman who sings horrendous songs (that have a Caribbean air, in a location supposed to be Africa and shot in México!) Boring and decidedly of dubious taste, it was a sad farewell to Weissmuller's Tarzan. 
-	+	John Hughes wrote a lot of great comedies in the '80s. ""European Vacation"" is not one of them. The follow-up to Hughes' first big hit ""Vacation"" (1983), is about as predictable, unfunny and annoying as they come -- no matter how much you love the dumb but romantic Clark and Ellen Griswold (Chase and D'Angelo).<br /><br />I greatly enjoyed ""Vacation"" as well as the third film, 1989's ""Christmas Vacation,"" but the Griswold's trip to Europe is bland and forced. Perhaps because this was Hughes' first attempt at a sequel that he didn't get it, but it's really dumbfounding how uninspired and devoid of a story ""European Vacation"" is. There is no through story: the Griswolds win a game show for being ""greedy little pigs"" and go on a tour of Europe through England, France, Germany and Italy. Even the screwball physical humor that is the trademark of the first loses all effect because you see it coming, which is part director Amy Heckerling's fault. The ""Fast Times at Ridgemont High"" director sets everything up too predictably.<br /><br />Maybe it was Hughes taking a cheap shot because he was put up to the sequel. ""European Vacation"" takes great pride in insulting Americans (recall the greedy little pig game show they win), especially tourists, represented by the cornball Griswold family. It also pats itself on the back implicitly saying ""oh us Griswolds, we're always getting into something because our dad is an idiot."" Then in nearly comic fashion it ends with a tribute to America and how grateful the Griswolds are to return to such a better country. If Hughes was going for satire and meant to do it in the form of a bad movie, well maybe I should award this 8/10 stars.<br /><br />It's not just the unfunniness, but ""European Vacation"" boasts the two worst actors to play kids Rusty and Audrey (Jason Lively and Dana Hill). They're both annoying and obnoxious, with the unattractive and loud-mouthed Audrey blubbering about the boyfriend she's left behind nearly the entire film. Hughes even goes as far as to have her comment about missing him right as she observes a giant bratwurst. Quite tasteful. Speaking of, breasts are flashed in two different scenes for no good reason (unless it was to comment on Americans' love of gratuitous nipples in their comedies).<br /><br />I will give the film one of its two stars thanks to Eric Idle of the Monty Python crew, whose cameo at a few different points in the film where he recites lines directly from ""Holy Grail"" is about the funniest part. If Hughes intended for us to find one of the film's only non- American actors as the only funny part, then another tip of the hat to him for ripping open the underbelly of Hollywood comedy in the '80s. Still, would it have hurt for him to do that while making it entertaining? 
-	+	I have seen most of John Waters' films. With the exception of several of his very early ones which are not available, I have actually seen just about all of them, so it's obvious I am a big fan and it's certain that I have a high tolerance for the gross and irreverent in his films. While way over the top and disgusting, I adored FEMALE TROUBLE and POLYESTER--two monumental tributes to bad taste and excess that are seriously funny films. So I am certainly NOT squeamish and can take most of what Waters has to offer. However, in PINK FLAMINGOS he has created a film so repellent, so unfunny and so offensive that I couldn't even stand it. In his other films he made before he became more mainstream, they were funny. Yet here, the humor just isn't there as it seems the intent is to shock the viewers and not entertain them in any way. I am glad that after making this film, Waters' sense of humor improved, as Divine consuming dog feces (as in this film) is shocking but not the least bit entertaining. My advice is to skip this film and just pretend it never happened and then watch his infinitely better films of the 70s and 80s. 
-	+	I saw it, I agree with him 100%, but I didn't care for his delivery. He just came off as an asshole in a poorly edited, contrived juvenile smear campaign. Edit cuts galore, etc... The camera would be focused on him, and you'd see 2 or 3 edit cuts just over the course of a minute or two of dialog. Add in the constant boom mikes in the camera shot, which is a film no-no.<br /><br />This documentary hits a topic with so many angles, so many interesting stories, that the movie is just so easily done. Picking on religious fanatics is like picking on the retarded kid. It is so easy it is just wrong. I mean how hard is it to make these people look like nut bags? To make them contradict themselves, you just let them recite more then a verse or two. I do like when he jumped back in forth between people of the same religion and showed them completely contradicting themselves.<br /><br />I just think he could have done something a little more creative. The part with the neurologist talking about brain activity was never fleshed out. It could have been interesting to show brain scans of people during religious fits compared to drugs, or sex, or ???? He could have played more on the women all rejoicing over the Passion play that looked more like a snuff scene in a new Rob Zombie movie. More could have gone into the history of John Smith, the Mormon founder who had quite the colorful past. Delve into science v.s. religion. One is a very methodical, very strict process for increasing the confidence in theories. It builds on itself from a solid bottom up, a new layer on top of a more proved layer. An enormous burden of proof is required each step of the way. The other starts at the top and comes down with unchallengeable claims. It is so, because well I said so.<br /><br />Done right I'd say turn it into an HBO original series hit a different religion every week.<br /><br />It was an eye opener about one thing. I must have been blind. Good ole G.W.Bush... no wonder he got elected. He had the religious majority. And well... now that is the blind leading the blind.<br /><br />Bill Moyer.. Well.. what can I expect from a guy who hands out at Sutra in Newport beach? 
-	+	i'm being generous giving this movie 2 stars. the line about ""have you even seen the wizard of oz"" was the best part for me! with terrible writing and acting like displayed in this movie it's no wonder so many are taken in by worthless tv reality shows. do yourself a favor and get out of the house and hit a royals baseball game, your gonna be glad ya did! 
-	+	Come on, let's get real. The Knights of Christ, Ordo Templi, or the Knights Templar as they are more commonly called did not even exist until the early 12th century. The story is so laughable that it's pathetic. Dolph Lundgren just looked positively bored. And besides, if you wanted to have a real-life Templar, why not just use the Knights of Christ, who are still in existence in Portugal. At least they should have taken history into account. The only redeeming quality I could find in this movie was that the artifacts looked authentic enough to pass for medieval or Gothic period pieces. The acting was bad, the storyline appalling, the action horrible, and the props were okay. 
-	+	How this movie escaped the wrath of MST3K I'll never know. ""Gymkata"" is a ridiculous action movie, filled (or is that empty?) with paper-thin plots, dumb characters, and preposterous situations. But take it from me, if you enjoy watching poor, yet goofy, movies, you will enjoy ""Gymkata"" a great deal.<br /><br />The action centers around a gymnast who is chosen by government agents (at least I think they were government agents) to become a spy. You see his dad was another quasi-government agent, who has gone missing competing in this game, called, eloquently, ""The Game."" So the gymnast (played blandly by Kurt Thomas) trains to compete in this game and find out what happened to his lost dad.<br /><br />Sounds promising doesn't it? Okay, so it doesn't but still, that bare bones plot sypnopsis doesn't begin to describe the joys of this movie. They can be found in the movie's strange details. Like the gymnast's mysterious Asian girlfriend, who doesn't speak for the first half hour of the movie, then all of a sudden begins to talk, and doesn't shut up for the rest of the time! Or the really tough shirtless bad guy who likes to make and break ""The Game""'s non-existent rules whenever he so pleases. And of course there's our hero's delightful romp through the ""Village of The Crazies"" (Evidently that's the place's real name!). Nice place to visit, but I wouldn't want to live there.<br /><br />But where this movie really shines is the action scenes. Since our protagonist is a gymnast, the director thought it wise to stick gymnastic equipment into the back alleys and town squares of Middle Eastern cities, so that our Gymkata master would be better able to use his gymnast skills to fight the scourge of evil on parallel bars and pummel horses. It has to be seen to be believed.<br /><br />One interesting thing of note. A lot, I'd say about half the cast, dies from being shot with an arrow. Interesting because the arrows are the only believable effects or action in the entire movie. If these were indeed effects, my one major note of compliment to whoever devised these very realistic arrows wounds. More likely, this was the film's way of not paying extras. Nevertheless, ""Gymkata"" deserves a look if you can see it without paying and are looking for some silliness that is an easy target for riffing.<br /><br /> 
-	+	In spite of many positive reviews this is a very slow film with three essentially good actors improvising the most banal dialog you will ever hear. This is another road movie that really goes no where. The camera frequently goes out of focus and the constant panning in some of the over long scenes is annoying.<br /><br />The three characters are attractive but note likable. The cast also sets what must be an intergalactic record for the use of the tired word ""dude"". (Even Howard Stern has abandoned this tired pesudo pronoun).<br /><br />The three primary actors and one supporting actor show great promise. They are clearly comfortable and bravely allow themselves to be depicted as shallow and even goofy. The character actors all seem as they are plucky amateurs who generously volunteered to speak a few lines.. Indeed they all physically fit their roles well.<br /><br />All in all a dull 90 minutes that seems more like an eternity. This is among my ten worst films of all time. 
-	+	This mini-series is actually more entertaining than some others with much bigger budgets and grander aspirations. SOTD falls somewhere between ""Kung-Fu"" and ""H R Pufnstuff"" on the entertainment spectrum. If it weren't so long (nearly 3 hours) I think that kids would like it quite a bit. It's got adventure, action, ""cliffhanger scenes"", and not too much romance or other ""icky"" stuff. When you're young, you're not too critical of flexing rubber swords, campy acting, and scenes that are repeated. (At least two scenes are repeated identically in the movie, just as was done in old-time serials in order to bring the audience up to speed.) Finally, kids are usually more accepting of American English dialogue coming out of the mouths of Asian actors. (Not to mention the fact that several of the leading roles are played by non-Asian actors.) <br /><br />I was going to give this movie three stars, but I felt like the director, producers, and cast deserved some extra credit for at least carrying through on the project. This movie is not art, but, like painting your house, it actually took some time, effort, and discipline to get it made.<br /><br />Overall, not a recommended use for your time, but it might keep the kids entertained while traveling in the mini-van.<br /><br />Oh, yeah...hey, IMDb! ""Dialogue"" is the preferred and traditional spelling. Your spell-checking seems to think that ""dialog"" is the proper spelling. While ""dialog"" is acceptable, both Webster's and the OED consider it an alternative form. 
-	+	Oh Geez... There are so many other films I want to see out there... I got stuck with my nephew for the weekend and this is what he wanted - Yeah...<br /><br />I used to watch this show when I was in college...it was mindless, kinda fun, and somewhat action-oriented. The show had a good heart tho...and the characters were cute; no one ever got killed or even hurt badly... it was like a cartoon come to life. Cut to 2005...What happened? This one doesn't work. As others have said, there simply isn't a cohesive story and the performances are weird...almost annoying - definitely not faithful to the original characters...the whole thing is a like a Mad TV skit and it lasts over 100 minutes! This was one of the few times I've been EMBARRASSED watching a film. What were they thinking? As best I can tell, must've been for the product marketing, toys, etc. All I can say is, let this one die a quick death. It makes the original Dukes of Hazzard seem like Masterpiece Theater...<br /><br />I think the only remake left to do from TV is Gilligan's Island... Good Luck! 
-	+	**** SPOILER WARNING ****<br /><br />Absolutely without a doubt, one of the funniest comedies ever created for the screen. Totally impossible to take any of this seriously. It would take a major novel to list all of the comedy routines in it. During the glory days of her program, Carol Burnett and company, who often did take-offs on films, skewered this one in ways that were hard to imagine. Carol played Jenny who suddenly became ill with only a slight cough and immediately the treacly music came up and everyone looked around wondering where it was coming from. Harvey Korman played Oliver with flowing locks and almost look liked Ryan O'Neal. The only thing funnier than this bit, is the real film.<br /><br />What a death scene at the end. Jenny really looks like she's dying alright...dying for her make-up artist to come in and give her a little color. And of course, we all know how often hospitals encourage a loved one to get in bed with them during the patient's final moments. The ending scene with Ryan O'Neal sitting on a bench in the snow contemplating his future in the movie business is an instant classic. He had plenty to worry about. He never did recover from this. 
-	+	In the mountains of Japan, forlorn young artist Sessue Hayakawa (as Tatsu aka ""The Dragon Painter"") paints magnificent landscapes. He prays ""Divinity"" will restore his fiancée, whom he believes was changed into a dragon, 1,000 years ago. Meanwhile, in Tokyo, an forlorn older painter, Edward Peil (as Kano Indara) laments not having a son to carry on his family line of artists. When Mr. Peil sees Mr. Hayakawa's paintings, he sees a painter worthy to become his ""son and disciple."" Hayakawa also falls in love with Peil's daughter Tsuru Aoki (Ume-Ko), believing she's the reincarnation of his long lost princess. But, with his love fulfilled, Hayakawa loses his ability to paint <br /><br />An introduction notes, ""'The Dragon Painter' was originally released in 1919 by the Haworth Pictures, a Hollywood-based production company formed the previous year by Sessue Hayakawa, a Japanese-born actor who enjoyed great popularity in the silent period. The film was ninth of twenty-two features produced by Haworth, each of which was tailored to Hayakawa's talents and to his stock company of Japanese actors."" Fortunately, a print of this film was found, in France, and restored.<br /><br />The description, ""The Dragon Painter is a fantasy-allegory of love and creative inspiration that is lost when longing is fulfilled,"" is accurate. ""With its production, Hayakawa intended to provide a different view of Japanese culture to American audiences, avoiding the stereotyping, violence, and melodramatic conflict expected in 'Oriental' films of the period."" Hayakawa was successful in that part of his goal; although, this film probably did not and will not appeal to most viewers, and is not the best example of its intent.<br /><br />**** The Dragon Painter (9/28/19) William Worthington ~ Sessue Hayakawa, Edward Peil, Tsuru Aoki 
-	+	Seriously, I'm all for gooey romantic comedies and will get sucked into Miss Congeniality as easily as Goodfellas...but this movie? It doesn't make any sense!!!! And I'm not even talking about the willing suspension of disbelief kind of not making sense. Why does her family live in England? Or, at the very least, why doesn't she have a British accent? She's sure cozy with her dad and he's surprisingly forgiving of her not being around for the last two years. (On that subject, no one ever makes much of a deal about her being away for so long). And what was with the goofy outfits at the bachelorette party? I'm not even going to get into the fact that the escort she paid for falls in love with her--that could've been overcome by better movie-making. I'm just saying that the characters, the setting, and the plot aren't fleshed out enough to make an even somewhat cohesive story. Oh, and the worst part, in my opinion, is the filmmaker's consistent use of the most unflattering angles on Deborah Messing's nose--I'd have sued the filmmakers if I were her! I mean, honestly, I'm all for women being who they are, but why, in seven loyal years of Will and Grace viewing, have I not ever noticed how incredibly odd her nose is? Oh! Because those producers are kind to her! This movie, like my other least favorite movie ever, Armageddon, is the fault of the filmmakers, not the actors. I can see both Messing and McDermott in these roles with a better writer, director, and producer.<br /><br />This easily gets my vote as one of the worst movies I've ever wasted time on. I'm just glad a friend loaned me her DVD, so all I wasted was time. If there were a way to make this review ZERO stars, I'd do it. 
-	+	OK first of all the video looks like it was filmed in the 80s I was shocked to find out it was released in 2001. Secondly the plot was all over the place, right off the bat the story is confusing. Had there been some brief prologue or introduction the story would've been better. Also I appreciate fantasy but this film was too much. It was bizarre and badly filmed. The scenes did not flow smoothly and the characters were odd. It was hard to follow and maybe it was the translation but it was even hard to understand. I love Chinese epic films but if you're looking for a Chinese epic fantasy film i would recommend the Promise (visually stunning, the plot is interesting and good character development) not this film. Beware you will be disappointed. 
-	+	Just like most people, I couldn't wait to see this Ocean's 11 sequel but it really stinks, I must say. It stinks because there's simply no good screenplay,it was just cheap. I hope the producers donate all the money this movie has made (or will make) to the tsunami-victims in Asia so this movie will have at least one good reason to exist. It is so bad I even can't write a decent comment about it but....i still advise the creators of this thing to make ""Ocean's 13"". Ocean's 13 will be about the same thieves who are trying to steal a screenplay well hidden somewhere in Hollywood. The 13th member will be a foreign (maybe,Russian) screenplay-writer who knows all tricks to write a copy of this well hidden screenplay, so they can replace the original they'll have to steal. Or they need to find at least 13 people to write a decent screenplay for a movie in which not only Julia Roberts plays herself but even all other star-members of the Ocean's-films. 13 People because it's the lucky number of Andy Garcia's character. 
-	+	Sorry Randy. I love your comedy but in this case you really laid a 'Golden Turkey' egg.<br /><br />The plot was thinner than a single layer of my skin, the acting more wooden than a Giant Redwood and I think the direction was non existent.<br /><br />There certainly appeared to be pathetic attempts at take-offs of other films, Jaws and European Vacation to name but two.<br /><br />If memory serves me right Eric Idle played the same type of character in Nat Lamp European Vacation, but much better.<br /><br />I am wondering if Chevy Chase and Beverley D'Angelo were approached to make this sequel. If so, they certainly knew what they were doing when they turned their parts down.<br /><br />In my opinion no one can better Chevy and Beverley in their roles as the Griswolds and Randy Quaid complemented them admirably in the earlier movies.<br /><br />Randy Quaid should have quit National Lampoon whilst he was ahead. 
-	+	It definitely fits the time period as the Axis & Allies were playing espionage games throughout most of North Africa & the rest of the world. It's not the best of films, but certainly not the worst of the budget films as described previously from the compilation War Classics. <br /><br />Duncan""Cisco Kid"" Renaldo was actually very good in one of his first feature films. I really enjoyed the performance of Harry Parke (credited as Parkyarkarkus). Why he never got any bigger roles is beyond me. He played the perfect buddy/partner role and saved the movie...imho.<br /><br />As said, this film was part of a budget package from Superbox-Mart entitled War Classics. Eight movies for eight bucks, which included other never-heard-from-films that has some decent stars trying to pay the bills.<br /><br />This script is...well, not so hot. The editing & cinematography is...worse. If you can by-pass all of that and want to see the future Cisco Kid & a great sidekick that sadly never fulfilled his true potential, definitely pick it up! Otherwise, there's other WW2 films to watch.<br /><br />-Thunderossa. 
-	+	Being too young to have experienced the Hammer films when they were fresh and new, I am discovering their hallowed horror films as I find them on DVD. I know it was almost a decade and half between them but it's hard to see much of the magic in the original Hammer Dracula in this late entry to the Christopher Lee series. The original Hammer vampire story had lots of atmosphere and a terrific story to get involved in. Lee was a great Dracula, a vibrant vampire if that possible, in the early outing but here he is nothing more than a cardboard character that mostly stands around and looks threatening. The modish young people talk like cartoon characters (even though my aunt lived in England during the 1970s and she says people actually talked with those awful clichés). I had no interest whatsoever in who lived or died amongst the younger crowd. They were all pretty terrible characters anyway. I did enjoy seeing a young and charismatic Caroline Munro; but she leaves the story too early. Lee and his historic nemesis Peter Cushing add an air of authenticity to the film but they can't draw blood from this empty film. It's D.O.A. 
-	+	So many films are now in a Genre described as ""Comedy/Thriller"", as was this one. A fine cast, interesting premise, but what an unpleasant film to watch. Into Hemp films? Then either ""Saving Grace"" or ""Lock, Stock..."" are far more enjoyable films. Rating: Just 2 out of 10 Roach Clips 
-	+	I rented ""New Best Friend"" hoping for a movie similar to enjoyable teen thrillers such as ""Gossip"" and ""The Curve"". Instead, ""New Best Friend"" is much more like ""The In Crowd"", in which there are no thrills and the acting is incredibly phony. ""New Best Friend"" is boring, and the events during the movie are the same. Skip this movie...it's a waste of time. 
-	+	""The Cat's Meow"" contains a few scenes that boast intelligent dialogue, and some fine performances, a few of which surprised me. Eddie Izzard is more effective than I expected as Chaplin (partly thanks to an excellent hair and makeup job by some talented designer); Joanna Lumley is compelling as novelist Elinor Glyn; and Kirsten Dunst is winning as Marion Davies (though why movies never use her real-life stutter is difficult to explain). But these elements don't add up to a successful whole. The screenwriter seems to have worked very hard on certain scenes--the meetings between Davies and Chaplin are particularly well crafted--but not so hard on the big picture. Several minor characters don't need to be there, and don't behave consistently. The basic plot is full of illogic (e.g., why does Thomas Ince think it's a good idea to tell Hearst something he really doesn't want to hear?), and the party scenes are repetitive and tiresome. I'd like to think a trip on Hearst's yacht was more fun than the movie indicates. Davies is characterized as a standard bubbly Flapper type, which isn't really accurate, and the screenwriter's ideas about Chaplin and love are implausible. <br /><br />Strangely, Bogdanovich, who seemed so connected to the Thirties in ""Paper Moon"", lacks a similar affinity for the Twenties. He insisted the excellent costume designer use only black and cream, which gives the party guests a very artificial look, and plays only the most stereotypical songs of the period (e.g., ""Yes, We Have No Bananas""). When Hearst insists everybody ""Charleston, Charleston!"" it looks as if the actors had a ten-minute dance lesson just before the scene was shot. <br /><br />The lives of silent film stars can make fascinating movies, I'm sure, but not this time. 
-	+	Wow, this was a real stinker. This early sci-fi flick has nothing going for it than pure camp. There's so much scientific mambo-jumbo in the dialog it's laughable. The female character played by Osa Massen is just a plot device for the male characters to serve sexist remarks during the entire length of the film. Watch this one with your girlfriend I guarantee it will make her blood boil.The only good thing is the musical score which expertly build the moods of the film. The special-effects are rather crude but not bad considering the vintage of the movie. With some good B-stars in the lead roles,the acting isn't too bad. But the lines they are given must have given them quite a challenge. The challenge of not laughing their heads off. 
-	+	I first didn't want to watch this film, for the trailer gave the impression of a common and too expected film...but as I recently had the pleasure to discover the surprising ""Mensonges et trahisons et plus si affinité"""" which was beautifully directed and written by Laurent Tirard (screenwriter of ""prête-moi ta main""), I changed my mind and decided to try it, thinking that ""Prête-moi ta main"", would be as good as ""mensonges..."". And it is absolutely not. The script is not bad, but it is not as well directed as ""Mensonges..."", the actors not as generous (especially Charlotte, as boring as she usually is) as Edouard Baer or Clovis Cornillac, and too be honest, I still don't understand how such crap can have such a success, even with such a casting... Anyway the story could have been a pretext to create so many interesting plots, but it is not as good as Tirard's ""Mensonges..."" though it's also written by him. Easy, unsurprising, and lazy work. Totally overestimated! 
-	+	The first DH wasn't that great, but I really didn't expect it to be. But this horrible movie was just beyond criticism. I really try to look on the bright side and give movies like this a chance, but I just could not find a real good thing about this one. I appreciate what Bill Cowell was trying to do, but this movie was just soooooo boring. The story of the movie really isn't that bad. In fact, it's somewhat original. But the movie form is really as bad as a lot of people say. In my opinion, this one ranks right up there with ""The Off Season"", and ""Dracula 3000"". I know a lot of people really trash and put down movies like this, but I really can't think of any other good things to say about it. 
-	+	this movie was banned in england? why? tom savini, george romero, dario argento, lucio fulci and others had done far worse before and have continued to so since...<br /><br />this movie has all the basic elements of a decent 70s or early 80's horror film. good looking girls (who can't act to save their lives, by the way), a terrible lightning storm with a torrential downpour, a scythe, a crazy brother wandering around the family estate, and actually a pretty damn good twist at the end. but banned? seriously. when the English parliament banned this movie, the italians probably laughed their collective asses off at how backwards and prudish the brits really were.<br /><br />there was maybe two minutes of total screen time devoted to the violence and gore (which was greatly underdone). there was nudity but no sex although allusions to sex were made, obviously. but absolutely nothing worthy of being banned.<br /><br />i would like to see what could have been done if the filmmakers had a decent budget to work with. as it stands, the film is entertaining, but the lack of picture and sound quality take away from the end result.<br /><br />banned... what a joke... 
-	+	Although there were some amusing moments, I thought the movie was pretty lame. The longer it ran, the worse it got. Once the action entered Monument Valley, I found myself watching the magnificent outcroppings more than the increasingly silly and unconvincing interaction of the characters.<br /><br />The character of the daughter was particularly incoherent. First she's in on the deal, then discovers the truth and she bails. Then she's back again, then deserts them again. Then she's back again. There's no apparent motivation for any of her decisions. There were interesting characters, some interesting scenes, and many missed possibilities. I would have to say the pictures was much less than the sum of its parts. Apparently the people who liked Repo Man were inclined to like this one. Searchers 2.0 is no match for The Searchers. 
-	+	In a not totally successful attempt to be taken seriously, and move into 'adult' films, Mr. Hughes gives us this film about a young married couple. True, it's got every cliche in the book in it, silly fantasy stuff and all that, but more importantly- it's got Elizabeth McGovern.<br /><br />Clearly the best actress to have ever appeared in a John Hughes film, she lends a weight to it that elevates the sometimes silly material. Kevin Bacon (and his hair) is pretty good as her husband, but McGovern steals the movie with her quiet true moments of honesty. The 'teen film' fun that worked so well in other Hughes films falls flat here- like a favorite uncle whose jokes made you laugh when you were 9, but keeps telling them when you are 15 and you wish he'd find some new material. But I keep going back to McGoverns performance, because it's truly moving. Mr. Hughes most interesting films to me have real actors in them (Some Kind of Wonderful, Breakfast Club) and when his material bumps up against a true talent, some wonderful things can happen. If only he'd trust that it doesn't have to be tarted up with the silly fantasy stuff. 
-	+	BLACK EYE (2 outta 5 stars) Unimaginatively-filmed '70s action movie looks like it was made for TV... only the occasional cuss word and a subplot about lesbianism tip you off that the movie was actually made to be shown in theatres. Fred Williamson plays a tough guy ex-cop who becomes a tough guy private eye. He stumbles upon a couple of murders and attempted murders linked to a mysterious cane. There are some fistfights, a Bullit-inspired car chase, a fairly original elevator scene and even time for Williamson to confront the rich, lesbian lover of his girlfriend (Teresa Graves). There is also a scene with Williamson bullying a poor old man by tearing up some priceless old autographed photos in his memorabilia shop. Yeah, way to go, tough guy... maybe you can find a cripple to beat up later? Obviously meant to cash in on the success of ""Shaft"" (this and about six thousand other movies), this movie doesn't have enough edge or enough originality to make much of an impression. 
-	+	A friend and I went through a phase some (alot of) years ago of selecting the crappest horror films in the video shop for an evening's entertainment. For some reason, I ended up buying this one (probably v. v. cheap).<br /><br />The cheap synth soundtrack is a classic of its time and genre. There's also a few very amusing scenes. Among them is a scene where a man's being attacked and defends himself with a number of unlikely objects, it made me laugh at the time (doesn't seem quite so funny in retrospect but there you go).<br /><br />Apart from that it's total crap, mind you. But probably worth a watch if you like films like ""Chopping Mall"". Yes, I've seen that too. 
-	+	Saw this movie recently and had higher hopes. Not so much based upon the director, who hadn't made a cinematographic release before, but more based upon its cast. Harvey Keitel, Scott Glenn and Craig Wasson (lead role in Body double, a Brian De Palma masterpiece) have all starred in great movies. Not together though, and this fact hasn't exactly changed because of this one.<br /><br />The film is unbelievable, very predictable and cliché. The only thing that might make it slightly appealing is the selection of locations on which it's been shot. In my humble opinion: don't waste your time on this one. 
-	+	Umm.. I was quite surprised that someone actually gave this film high marks.<br /><br />Lets face it... Tori Spelling is not a great actress.. and this movie just proves the extent of her ""talent"". The movie's plot was weak... I bet the dork that came up with this concept was some perverted peeping tom. If there is a good thing about this movie, I would say it's that Tommy Chong's daughter, just for the fact that she's his daughter... and then there is that Soap-Opera-ish male lead who's decent good looks somewhat make him attractive, but ceases to help his dramatic abilities. *Why does IMDb require at least 10 lines? How many more ways can you simply say ""This movie sucks""? 
-	+	I was an extra on this film, in the part shot at the airport in the first 15 minutes or so; I was one of the fleeing (mostly Mexican) Bangladeshi refugees running across the runways at Ryan Field in Tucson. At one point, standing around in our turbans as we waited for another shot, one of my fellow extras turned to me asked me what the move was going to be about. I told him it was going to be a remake of Lost Horizons, only as a musical. There was a long pause, then he replied: ""Man, this movie is gonna suck"". Pretty perceptive of him, I thought. I had a good time and made a bit of money, but even with some interesting personal memories attached to this movie I can't sit through the whole thing. <br /><br />If you ever saw the movie ""The Swarm"", you can pretty much get the idea. You get to see a lot of famous and talented people wasted on an an idea that on the face of it is just BAD. The idea seemed to be that if you throw enough money at a movie and hire enough big names, then a good story and good writing aren't necessary. Just turn the big crank, and out comes the product. It's just not worth watching. 
-	+	What a waste of talent -- although it appears that Crudup in real life is a lot more like the vapid, self- absorbed, character-less character he portrays in this disappointing movie.<br /><br />In art, sometimes the empty spaces reveal more than the painted or created content. What this movie reveals is the unconsciousness and the contradictory/competing, unresolved impulses/consciousness of the film's director/writer. It unintentionally shows the LACK of awareness that a truly evolved, deeply aware character should have and be tormented about in order to deserve audience empathy or sympathy OR the lack of which is used to serve as a cautionary tale to the audience. But this film fails on either level in that regard.<br /><br />The fact that Cal, the main character (very much an ANTagonist, not a protagonist in the true sense of the word), has no empathy for anyone, especially those most deserving of it (which does NOT include him) and that he has such overblown, entitled, self-pitying, whiney sympathy only for himself, combined with the hallmark lack of remorse and no sense of guilt or awareness of his impact on others -- all converge in this film to make him the epitome of the self-involved, developmentally arrested, narcissistic sociopath -- somehow this is now the gold standard for males on film and in the world at this point and time. <br /><br />One of his counterpoints (James LeGros) states with a laser-true flash: ""I bet you haven't done one good thing in life -- and I bet you won't"". It captures the absolute essence of the Cal character. Something the other characters he bulldozes over in the film seem to realize fairly quickly despite the director having stacked the deck to manipulate sympathy for Cal. That is a testament to the supporting cast's talent and skills.<br /><br />Cal's eventual 'return' has nothing to do with character development, transformation or evolution of consciousness. It has only to do with the ultimate capitulation that until something better comes along, he may as well be back in his comfy cozy status quo of entitled enablement where the living is easy and no one will demand that he grow up--something of which he is willfully incapable and uninterested in doing.<br /><br />The film could have been pointed and intentional about showing the traps and tragedies -- the devastating effects of this kind of lack of conscience/ consciousness, but it excuses and glorifies it instead -- in fact, it wallows in self-pity right along with the arrogant, selfish, emotionally stunted main character.<br /><br />(and it sure sent chills up my spine when thinking of the recent revelations about convicted murderer Scott Peterson).<br /><br />If you want to see Crudup at his most nuanced and full of an exciting potential that has never been truly realized in my opinion, see the underrated 'Inventing the Abbotts' .... 
